,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
.Alabama,3062000,3059000,3068000,3053000,3014000,3050000,3071000,3109000,3163000,3204000,3267000,3316000,3323000,3358000,3395000,3443000,3464000,3458000,3446000,3440000,3444354,3497076,3539400,3579780,3626499,3678814,3735139,3780403,3831836,3866248,3893888,3918531,3925266,3934102,3951820,3972523,3991569,4015264,4023844,4030222,4040389,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785437,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185
.Alaska,129000,158000,189000,205000,215000,222000,224000,231000,224000,224000,226000,238000,246000,256000,263000,271000,271000,278000,285000,296000,302583,315510,324464,330543,341063,376170,400969,403436,404766,402753,401851,418491,449606,488417,513702,532495,544268,539309,541983,547159,550043,553290,570193,588736,599432,603308,604412,608569,612968,619932,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713910,722128,730443,737068,736283,737498,741456,739700,735139,731545
.Arizona,750000,785000,842000,894000,933000,987000,1053000,1125000,1193000,1261000,1302000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1775399,1895814,2008291,2124438,2223196,2284847,2346157,2425197,2515316,2635571,2718215,2810107,2889861,2968925,3067135,3183538,3308262,3437103,3535183,3622185,3665339,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407172,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717
.Arkansas,1910000,1901000,1838000,1780000,1734000,1725000,1704000,1733000,1726000,1756000,1786000,1806000,1853000,1875000,1897000,1894000,1899000,1901000,1902000,1913000,1923322,1972312,2018638,2059256,2101403,2159526,2170161,2209010,2243127,2271333,2286435,2293201,2294257,2305761,2319768,2327046,2331984,2342355,2342656,2346358,2350624,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921964,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804
.California,10586000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000,15717000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,19971069,20345939,20585469,20868728,21173865,21537849,21935909,22352396,22835958,23256880,23667902,24285933,24820009,25360026,25844393,26441109,27102237,27777158,28464249,29218164,29811427,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223
.Colorado,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1754000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2209596,2303524,2404619,2495868,2541406,2586192,2632306,2696140,2766748,2849234,2889964,2977898,3061564,3133630,3169992,3208723,3237450,3260480,3262281,3275818,3294473,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047349,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736
.Connecticut,2007000,2028000,2081000,2168000,2249000,2300000,2316000,2359000,2446000,2523000,2535000,2586000,2647000,2727000,2798000,2857000,2903000,2935000,2964000,3000000,3032217,3060938,3068699,3067814,3074047,3082500,3083335,3085722,3091627,3095917,3107576,3128836,3139013,3162354,3180014,3201131,3223740,3247291,3271953,3283403,3287116,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579114,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287
.Delaware,318000,331000,341000,351000,368000,389000,408000,426000,433000,441000,446000,461000,469000,483000,497000,507000,516000,525000,534000,540000,548104,564708,572913,577759,581418,586589,590166,591829,594776,594984,594338,595975,599148,605458,611565,618280,627559,636947,647622,658273,666168,669567,683080,694925,706378,717545,729734,740977,751487,763335,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764
.District of Columbia,802000,808000,805000,810000,791000,785000,759000,763000,757000,761000,764000,778000,788000,798000,798000,797000,791000,791000,778000,762000,756668,749781,742241,731488,717947,706871,692295,677228,665052,650016,638333,636893,634174,632433,633382,634549,638269,636930,630432,624168,606900,605321,600870,597565,595301,589239,580517,572377,567736,565230,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749
.Florida,2771000,2980000,3157000,3310000,3505000,3747000,4047000,4372000,4630000,4808000,4952000,5243000,5458000,5628000,5781000,5954000,6104000,6242000,6433000,6641000,6791418,7158304,7511463,7913696,8298762,8518422,8667379,8856183,9102032,9426159,9746324,10192774,10471407,10749851,11039925,11351118,11667505,11997283,12306395,12637715,12938071,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737
.Georgia,3445000,3531000,3584000,3558000,3602000,3636000,3701000,3766000,3804000,3868000,3943000,4015000,4086000,4172000,4258000,4332000,4379000,4408000,4482000,4551000,4587930,4711550,4809490,4910374,4999419,5064075,5132812,5219697,5295751,5401384,5463105,5568345,5649792,5728250,5834954,5962661,6084666,6208467,6316142,6411099,6478149,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423
.Hawaii,500000,514000,517000,510000,505000,539000,559000,584000,605000,622000,633000,659000,684000,682000,700000,704000,710000,723000,734000,750000,769913,801644,828331,851595,867978,886160,904191,918259,931584,953306,964691,978195,993780,1012717,1027922,1039698,1051762,1067918,1079828,1094588,1108229,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872
.Idaho,589000,589000,587000,596000,600000,618000,628000,642000,646000,657000,667000,684000,692000,683000,680000,686000,689000,688000,695000,707000,713015,738753,763237,782074,807990,831982,856983,883469,910690,932627,943935,962204,973721,981869,990839,994051,990224,984997,985664,994416,1006734,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065
.Illinois,8712000,8790000,8956000,9065000,9252000,9435000,9530000,9668000,9886000,9986000,10081000,10130000,10280000,10402000,10580000,10693000,10836000,10947000,10995000,11039000,11110285,11202397,11251948,11251367,11262145,11291743,11342853,11386316,11412561,11396837,11426518,11443458,11423412,11408818,11412132,11399806,11387257,11391178,11390183,11409782,11430602,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821
.Indiana,3934000,4096000,4148000,4182000,4264000,4363000,4458000,4529000,4583000,4613000,4662000,4730000,4736000,4799000,4856000,4922000,4999000,5053000,5093000,5143000,5195392,5253396,5302435,5338277,5361890,5365766,5389088,5425638,5470214,5501174,5490224,5480435,5467922,5450395,5458322,5459211,5454108,5473012,5491735,5523693,5544156,5557798,5616388,5674547,5739019,5793526,5851459,5906013,5955267,5998880,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219
.Iowa,2621000,2617000,2626000,2629000,2626000,2679000,2703000,2716000,2708000,2729000,2758000,2756000,2750000,2747000,2746000,2742000,2762000,2793000,2803000,2805000,2825368,2851705,2860287,2863715,2867530,2880847,2903082,2913573,2918069,2915739,2913808,2907983,2888189,2870543,2858618,2829684,2791970,2767011,2768388,2770592,2776831,2781018,2797613,2818401,2836972,2850746,2867373,2880000,2891119,2902872,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070
