Measures,State,Year,Values
Transit Ridership,Alabama,2018,8249880
Highway Fatalities,Alabama,2018,953
Highway use of gasoline (thousand gallons),Alabama,2018,2540902
Highway vehicle-miles traveled (millions),Alabama,2018,71167.20675
Vehicles,Alabama,2018,5300199
Licensed drivers,Alabama,2018,3999057
Person miles (millions),Alabama,2017,158050
Person trips (millions),Alabama,2017,10604
Persons traveling (thousands),Alabama,2017,8932
Transit Ridership,Alabama,2017,7827744
Highway Fatalities,Alabama,2017,948
Highway use of gasoline (thousand gallons),Alabama,2017,2550741
Highway vehicle-miles traveled (millions),Alabama,2017,70677.2482
Vehicles,Alabama,2017,5056073
Licensed drivers,Alabama,2017,3954378
Transit Ridership,Alabama,2016,8461560
Highway Fatalities,Alabama,2016,1083
Highway use of gasoline (thousand gallons),Alabama,2016,2580392
Highway vehicle-miles traveled (millions),Alabama,2016,69227
Vehicles,Alabama,2016,5468301
Licensed drivers,Alabama,2016,3943082
Transit Ridership,Alabama,2015,8717476
Highway Fatalities,Alabama,2015,850
Highway use of gasoline (thousand gallons),Alabama,2015,2504176
Highway vehicle-miles traveled (millions),Alabama,2015,67257.00465
Vehicles,Alabama,2015,5400419
Licensed drivers,Alabama,2015,3907038
Transit Ridership,Alabama,2014,8898719
Highway Fatalities,Alabama,2014,820
Highway use of gasoline (thousand gallons),Alabama,2014,2576928
Highway vehicle-miles traveled (millions),Alabama,2014,65666.60432
Vehicles,Alabama,2014,5366840
Licensed drivers,Alabama,2014,3881542
Transit Ridership,Alabama,2013,8377400
Highway Fatalities,Alabama,2013,853
Highway use of gasoline (thousand gallons),Alabama,2013,2519753
Highway vehicle-miles traveled (millions),Alabama,2013,65046.48393
Vehicles,Alabama,2013,4787220
Licensed drivers,Alabama,2013,3859403
Transit Ridership,Alabama,2012,7818049
Highway Fatalities,Alabama,2012,865
Highway use of gasoline (thousand gallons),Alabama,2012,2521069
Highway vehicle-miles traveled (millions),Alabama,2012,64959.17207
Vehicles,Alabama,2012,4844630
Licensed drivers,Alabama,2012,3827522
Transit Ridership,Alabama,2011,7586278
Highway Fatalities,Alabama,2011,895
Highway use of gasoline (thousand gallons),Alabama,2011,2538696
Highway vehicle-miles traveled (millions),Alabama,2011,64914.37237
Vehicles,Alabama,2011,4811940
Licensed drivers,Alabama,2011,3798552
Transit Ridership,Alabama,2010,7720672
Highway Fatalities,Alabama,2010,862
Highway use of gasoline (thousand gallons),Alabama,2010,2595316
Highway vehicle-miles traveled (millions),Alabama,2010,64165.14864
Vehicles,Alabama,2010,4653840
Licensed drivers,Alabama,2010,3805751
Person miles (millions),Alabama,2009,125566
Person trips (millions),Alabama,2009,10894
Persons traveling (thousands),Alabama,2009,8718
Transit Ridership,Alabama,2009,8103825
Highway Fatalities,Alabama,2009,848
Highway use of gasoline (thousand gallons),Alabama,2009,2533308
Highway vehicle-miles traveled (millions),Alabama,2009,61299.67456
Vehicles,Alabama,2009,4610850
Licensed drivers,Alabama,2009,3782284
Transit Ridership,Alabama,2008,8602946
Highway Fatalities,Alabama,2008,969
Highway use of gasoline (thousand gallons),Alabama,2008,2510679
Highway vehicle-miles traveled (millions),Alabama,2008,59303
Vehicles,Alabama,2008,4729790
Licensed drivers,Alabama,2008,3753550
Transit Ridership,Alabama,2007,7902834
Highway Fatalities,Alabama,2007,1110
Highway use of gasoline (thousand gallons),Alabama,2007,2573326
Highway vehicle-miles traveled (millions),Alabama,2007,61410
Vehicles,Alabama,2007,4677770
Licensed drivers,Alabama,2007,3691762
Transit Ridership,Alabama,2006,6675016
Highway Fatalities,Alabama,2006,1207
Highway use of gasoline (thousand gallons),Alabama,2006,2537990
Highway vehicle-miles traveled (millions),Alabama,2006,60414
Vehicles,Alabama,2006,4630310
Licensed drivers,Alabama,2006,3665180
Transit Ridership,Alabama,2005,6561914
Highway Fatalities,Alabama,2005,1148
Highway use of gasoline (thousand gallons),Alabama,2005,2545997
Highway vehicle-miles traveled (millions),Alabama,2005,59661
Vehicles,Alabama,2005,4544520
Licensed drivers,Alabama,2005,3637414
Transit Ridership,Alabama,2004,6814340
Highway Fatalities,Alabama,2004,1154
Highway use of gasoline (thousand gallons),Alabama,2004,2545769
Highway vehicle-miles traveled (millions),Alabama,2004,59035
Vehicles,Alabama,2004,4507750
Licensed drivers,Alabama,2004,3613138
Transit Ridership,Alabama,2003,6643127
Highway Fatalities,Alabama,2003,1004
Highway use of gasoline (thousand gallons),Alabama,2003,2446942
Highway vehicle-miles traveled (millions),Alabama,2003,58637
Vehicles,Alabama,2003,4329250
Licensed drivers,Alabama,2003,3598034
Transit Ridership,Alabama,2002,5557613
Highway Fatalities,Alabama,2002,1038
Highway use of gasoline (thousand gallons),Alabama,2002,2541401
Highway vehicle-miles traveled (millions),Alabama,2002,57515
Vehicles,Alabama,2002,4428000
Licensed drivers,Alabama,2002,3577986
Person miles (millions),Alabama,2001,124448
Person trips (millions),Alabama,2001,11328
Persons traveling (thousands),Alabama,2001,7852
Transit Ridership,Alabama,2001,5674427
Highway Fatalities,Alabama,2001,991
Highway use of gasoline (thousand gallons),Alabama,2001,2382507
